FECHA,IDC,ACTIVIDAD ECONOMICA,EDAD,SALARIO,FFNN,MONTO_ACUMULADO_DOL_ACH,FRECUENCIA_ACH,MONTO_USD_DOL_PCC,CANTIDAD_PCC,NRO_ORDENANTES_DIFERENTES
202006,06020585LP,5651,37,929,0,2091.399415,5,0,0,4
202006,06021524LP,5652,37,671,0,2147.959182,2,0,0,1
202006,06023517LP,5653,36,700,0,728.862973,1,0,0,1
202006,06025710LP,5654,37,984,0,1274.198248,4,0,0,2
202006,06029880LP,5655,36,300,1,376.093293,3,0,0,2
202006,06031394LP,5656,34,1715,1,4701.166178,8,0,0,8
202006,06032898LP,5657,37,742,0,932.944605,2,0,0,1
202006,06034155LP,5658,37,583,0,1553.173462,14,0,0,3
202006,06035364LP,5659,33,600,0,2215.74344,3,0,0,2
202006,06036087LP,5660,35,850,1,1316.588921,1,0,0,1
202006,06036091LP,5661,35,955,0,7944.606413,2,0,0,1
202006,06038394LP,5662,36,943,0,4903.790084,9,0,0,8
202006,06039862LP,5663,35,300,0,9475.218658,1,0,0,1
202006,06041103LP,5664,27,448.69,1,586.588918,6,0,0,4
202006,06043306LP,5665,29,273.62,0,1201.166177,7,0,0,3
202006,06048236LP,5666,35,900,0,21041.54518,15,0,0,6
202006,06048323LP,5667,35,500,0,20291.54519,2,0,0,1
202006,06048928LP,5668,30,300,0,306.122448,3,0,0,1
202006,06051475LP,5669,34,611,1,2944.606412,5,0,0,2
202006,06051762LP,5670,36,942,0,3074.344014,13,0,0,4
202006,06051980LP,5671,41,1619,0,1946.792998,9,0,0,8
202006,06053442LP,5672,33,500,0,1700.911074,12,20462.17201,1,9
202006,06059501LP,5673,32,300,0,455.539351,12,0,0,8
202006,06062611LP,5674,33,300,0,1094.169095,4,0,0,3
202006,06062650LP,5675,32,500,1,543.731777,3,0,0,3
202006,06064534LP,5676,32,712,0,6451.335272,13,0,0,7
202006,06065357LP,5677,31,954,1,3376.093293,5,0,0,3
202006,06067737LP,5678,32,350,0,849.874634,4,0,0,1
202006,06067802LP,5679,35,1150,0,2581.641399,2,0,0,2
202006,06068471LP,5680,37,2000,1,10284.25656,3,0,0,2
202006,06070507LP,5681,32,450,0,560.787169,5,0,0,5
202006,06072636LP,5682,35,951.46,0,976.676384,2,0,0,2
202006,06072837LP,5683,32,500,0,1423.454808,4,0,0,1
202006,06073001LP,5684,32,700,0,2302.478132,4,0,0,3
202006,06073100LP,5685,31,600,0,964.409618,6,0,0,3
202006,06073959LP,5686,33,250,0,1169.807579,2,0,0,2
202006,06074120LP,5687,33,685,1,1317.055385,15,0,0,6
202006,06076475LP,5688,28,965,0,1296.35567,26,0,0,8
202006,06076752LP,5689,32,623,1,739.067055,1,0,0,1
202006,06077704LP,5690,33,300,0,521.137022,7,0,0,2
202006,06078903LP,5691,33,438,0,477.405245,5,0,0,5
202006,06080167LP,5692,36,407.43,0,1256.501456,4,0,0,1
202006,06080219LP,5693,36,1251,1,1869.679297,5,0,0,5
202006,06081077LP,5694,28,325,0,393.586004,3,0,0,1
202006,06084471LP,5695,36,450,0,7115.597666,3,0,0,3
202006,06085877LP,5696,39,600,1,1209.912536,3,0,0,2
202006,06085909LP,5697,24,364.72,0,460.349845,14,0,0,11
202006,06085934LP,5698,36,250,0,373.032068,3,0,0,3
202006,06085936LP,5699,28,528,0,1241.25364,8,0,0,7
202006,06086684LP,5700,35,650,0,881.924197,4,0,0,3
202006,06086705LP,5701,31,1506,0,2328.352756,21,0,0,12
202006,06086712LP,5702,37,500,0,634.110786,3,0,0,2
202006,06086863LP,5703,31,920,0,947.521865,1,0,0,1
202006,06087075LP,5704,35,583,0,5322.150144,5,0,0,4
202006,06087288LP,5705,37,600,0,655.976676,2,0,0,1
202006,06087351LP,5706,36,655,0,3711.953344,17,0,0,12
202006,06087634LP,5707,36,900,0,1594.02332,7,0,0,4
202006,06087772LP,5708,27,450,0,630.029151,6,0,0,2
202006,06087986LP,5709,26,1000,0,2029.446059,6,0,0,6
202006,06088586LP,5710,27,328,0,612.244896,3,0,0,3
202006,06088680LP,5711,33,2269,1,2339.650142,6,0,0,4
202006,06088825LP,5712,37,1000,0,1339.052467,25,0,0,18
202006,06089116LP,5713,28,500,0,568.163265,1,0,0,1
202006,06089286LP,5714,32,400,0,555.539356,4,0,0,3
202006,06089817LP,5715,33,1428,0,2184.233233,8,0,0,8
202006,06090930LP,5716,26,365,0,676.822153,7,0,0,2
202006,06091741LP,5717,25,300,0,2082.944599,14,0,0,11
202006,06092684LP,5718,36,638,0,1399.583088,3,0,0,2
202006,06092847LP,5719,36,2000,1,4034.139928,28,0,0,17
202006,06093033LP,5720,32,600,0,1693.148686,3,0,0,2
202006,06093766LP,5721,34,969.39,0,1500.406703,4,0,0,3
202006,06093994LP,5722,35,500,0,728.862973,1,0,0,1
202006,06094422LP,5723,30,1000,0,1222.011654,13,0,0,8
202006,06094869LP,5724,37,1000,0,1530.612243,4,0,0,2
202006,06095060LP,5725,31,1000,0,3908.892123,11,0,0,6
202006,06095266LP,5726,29,410,0,11065.66908,40,0,0,10
202006,06096151LP,5727,38,2000,1,93105.24781,11,0,0,2
202006,06096603LP,5728,29,2000,0,2489.212825,4,0,0,3
202006,06096818LP,5729,33,428,0,605.685128,5,0,0,2
202006,06097433LP,5730,38,350,0,634.110785,4,0,0,4
202006,06098147LP,5731,32,500,0,2305.539352,12,0,0,6
202006,06099007LP,5732,30,708,1,15253.64431,3,0,0,2
202006,06099198LP,5733,32,3476.97,1,3571.032062,15,0,0,9
202006,06099483LP,5734,38,1308,1,6975.218649,19,0,0,6
202006,06100204LP,5735,35,1053,1,4768.075801,2,0,0,2
202006,06100847LP,5736,30,385,0,2740.52478,2,0,0,2
202006,06100903LP,5737,30,618.95,0,626.822155,5,0,0,5
202006,06101416LP,5738,36,700,0,1467.930021,13,0,0,6
202006,06102436LP,5739,37,500,1,6881.516032,8,0,0,6
202006,06103547LP,5740,37,976.09,0,1023.625362,5,0,0,5
202006,06103763LP,5741,36,300,0,709.868801,6,0,0,5
202006,06103832LP,5742,37,350,0,430.029152,6,0,0,3
202006,06103885LP,5743,37,500,0,2069.970844,3,0,0,2
202006,06104464LP,5744,37,2300,0,21418.65886,62,0,0,2
202006,06105021LP,5745,37,338,0,470.04373,5,0,0,3
202006,06107565LP,5746,31,714,0,1270.147226,12,0,0,6
202006,06107664LP,5747,35,550,0,6236.335273,10,0,0,4
202006,06108032PE,5748,69,400,1,583.090379,1,0,0,1
202006,06109625LP,5749,36,300,0,478.804662,6,0,0,6
202006,06111614LP,5750,24,300,0,728.862973,1,0,0,1
202006,06112703LP,5751,33,500,0,732.507287,2,0,0,2
202006,06113442LP,5752,34,575,0,933.116616,4,0,0,3
202006,06113849LP,5753,33,1600,0,1926.384835,11,0,0,4
202006,06114779LP,5754,34,2000,0,5102.040816,1,0,0,1
202006,06114821LP,5755,32,400,0,446.064138,3,0,0,2
202006,06115814LP,5756,28,428,0,2774.635562,11,0,0,10
202006,06117411LP,5757,28,508,0,803.206994,4,0,0,3
202006,06118492LP,5758,37,1866,0,3612.244888,16,0,0,9
202006,06119738LP,5759,29,500,0,734.358597,6,0,0,3
202006,06119783LP,5760,31,1989,1,3893.418359,21,0,0,11
202006,06119818LP,5761,30,430,0,801.749268,7,0,0,5
202006,06120049LP,5762,30,510,0,874.635568,2,0,0,1
202006,06120099LP,5763,38,2000,0,2196.489794,4,0,0,4
202006,06120385LP,5764,33,1179,0,1842.551017,6,0,0,3
202006,06120510LP,5765,35,863,0,6500,1,0,0,1
202006,06121420LP,5766,35,546,0,602.186585,5,0,0,1
202006,06121468LP,5767,45,2000,1,8892.769676,13,26000,1,12
202006,06121974LP,5768,33,290,0,758.017492,1,0,0,1
202006,06122639LP,5769,36,600,0,1269.533525,4,0,0,3
